name,lon,lat,notes
ODI,-91.4675211,43.9123281,
OED,-122.9129336,42.4795742,
OKC,-97.5999006,35.3936994,
OMN,-81.1126961,29.3032519,
ONL,-98.6869217,42.4705031,
ONP,-124.0606183,44.5753678,
ORD,-87.9048861,41.9876733,
ORF,-76.2003236,36.8918997,
ORL,-81.3350186,28.5427247,
OTM,-92.3258958,41.029115,
OSW,-95.2036336,37.1575111,
OVR,-95.7367294,41.1672761,
PBI,-80.0864997,26.6800478,
PDT,-118.9387036,45.6984194,
PDX,-122.6062706,45.5936956,
PGS,-113.5444667,35.6247119,
PHX,-112.0077778,33.4352778,
PIE,-82.6843092,27.9077642,
PIH,-112.6522353,42.8703842,
PIR,-100.1628714,44.3945086,
PLB,-73.5226853,44.6849322,
PMM,-86.10481,42.4660369,
PNH,-101.6990328,35.2350628,Same as AMA
AMA,-101.6990328,35.2350628,Same as PNH
PQI,-68.0945417,46.7741856,
PSB,-77.9927192,40.9162547,
PSK,-80.7129006,37.087705,
PSX,-96.3061808,28.7644247,
PUB,-104.4294417,38.2942517,
PVD,-71.4296386,41.7243442,
PWE,-96.2062811,40.2003528,
PXV,-87.7623794,37.9283203,
PYE,-122.8678275,38.0797567,
PZD,-84.2931058,31.6552269,
RAP,-103.0123375,43.9760322,
RBL,-122.2363583,40.0989069,
RDU,-78.7833422,35.8725211,
REC,-78.7470225,40.5464592,
REO,-117.8681519,42.5905472,
RHI,-89.4577878,45.633775,
RIC,-77.3202781,37.5023486,
RLG,-106.4424875,40.0026417,
RMG,-85.1194208,34.1625683,
ROD,-84.0431428,40.287795,
RSK,-108.0988992,36.7483928,
RSW,-81.7757678,26.5298753,
RWF,-95.12823,44.4672736,
RZC,-94.1213889,36.2464242,
RZS,-119.7709917,34.5095269,
SAC,-121.5516494,38.4437453,
SAT,-98.4613144,29.6440317,
SAV,-81.1991056,32.1462667,
SAW,-87.3972167,46.358925,
SAX,-74.538325,41.0675136,
SBJ,-74.7417911,40.5830419,
SBY,-75.5105878,38.3450064,
SGF,-93.3340381,37.3559475,
SHB,-85.8243164,39.6325425,
SHR,-107.0610736,44.8422656,
SIE,-74.8003328,39.0955025,
SJI,-88.3592939,30.72598,
